EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
RM297,18,18-25,Yes,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,Single,25233,MoreThan 15000,1,No,3,3,0,2,3,0,0
RM302,18,18-25,No,Travel_Rarely,Sales,10,Medical,4,Female,2,1,Sales Representative,3,Single,9724,Upto 10000,1,No,3,1,0,2,3,0,0
RM458,18,18-25,Yes,Travel_Frequently,Sales,5,Marketing,2,Male,3,1,Sales Representative,2,Single,8059,Upto 10000,1,Yes,3,4,0,3,3,0,0
RM728,18,18-25,No,Non-Travel,Research & Development,5,Life Sciences,2,Male,3,1,Research Scientist,4,Single,13493,Upto 15000,1,No,3,4,0,2,3,0,0
RM829,18,18-25,Yes,Non-Travel,Research & Development,8,Medical,3,Male,3,1,Laboratory Technician,3,Single,13556,Upto 15000,1,No,3,4,0,0,3,0,0
RM973,18,18-25,No,Non-Travel,Research & Development,1,Life Sciences,4,Female,3,1,Laboratory Technician,4,Single,19305,MoreThan 15000,1,No,3,3,0,5,4,0,0
RM1154,18,18-25,Yes,Travel_Frequently,Sales,3,Medical,2,Female,3,1,Sales Representative,4,Single,18420,MoreThan 15000,1,Yes,3,3,0,2,4,0,0
RM1312,18,18-25,No,Non-Travel,Research & Development,14,Medical,2,Female,3,1,Research Scientist,3,Single,8018,Upto 10000,1,No,3,3,0,4,1,0,0
RM128,19,18-25,Yes,Travel_Rarely,Sales,22,Marketing,4,Male,3,1,Sales Representative,3,Single,26820,MoreThan 15000,1,Yes,3,4,0,2,2,0,0
RM150,19,18-25,No,Travel_Rarely,Research & Development,3,Medical,2,Female,3,1,Laboratory Technician,2,Single,16102,MoreThan 15000,1,No,3,4,1,3,3,1,0
